"","beta","lnlike_t1","lnlike_t2","lnlike_t3","lnlike_t4"
"109",0.00109,-3526346.64968897,-419602.895975886,-648664.767820636,-5361156.29324102
"110",0.0011,-3542873.17386733,-419141.230340469,-648340.584682109,-5356373.80058854
"111",0.00111,-3558978.0312923,-418681.250503211,-648017.584982594,-5351594.58919712
"112",0.00112,-3574680.17439564,-418223.049850429,-647695.760833566,-5346841.85138271
"113",0.00113,-3589995.65303382,-417766.843655227,-647374.917167477,-5342129.92585579
"114",0.00114,-3604941.5595356,-417312.214901143,-647055.376356422,-5337405.26023042
"115",0.00115,-3619533.42550843,-416859.362133368,-646737.027017628,-5332725.79866374
"116",0.00116,-3633783.79856724,-416408.236308777,-646419.722121193,-5328066.68810134
"117",0.00117,-3647707.12580154,-415958.742267694,-646103.680757631,-5323404.20867041
"118",0.00118,-3661316.10780704,-415511.184363221,-645788.708498619,-5318805.54549156
"119",0.00119,-3674622.19817272,-415065.194569344,-645474.799523828,-5314177.12805713
"120",0.0012,-3687636.84260871,-414620.805047929,-645161.956723092,-5309600.37991878
"121",0.00121,-3700369.87915436,-414178.098306333,-644850.326491477,-5305045.91507826
"122",0.00122,-3712831.91330691,-413737.036753498,-644539.72566448,-5300479.36868042
"123",0.00123,-3725032.36967375,-413297.492490441,-644230.200556216,-5295965.98459613
"124",0.00124,-3736978.31184942,-412859.694137325,-643921.654152037,-5291435.47362302
"125",0.00125,-3748680.82323893,-412423.385358963,-643614.17118582,-5286952.52160657
"126",0.00126,-3760146.10473214,-411988.665785,-643307.724521416,-5282473.88501275
"127",0.00127,-3771382.18615532,-411555.489455304,-643002.38887427,-5278032.63030885
"128",0.00128,-3782397.0426334,-411123.821012957,-642697.860610074,-5273592.1978178
"129",0.00129,-3793196.22607537,-410693.721190879,-642394.53237616,-5269177.91852809
"130",0.0013,-3803786.26059661,-410265.154754012,-642092.14990608,-5264761.92560188
"131",0.00131,-3814174.60771833,-409838.017214892,-641790.800277208,-5260376.25807838
"132",0.00132,-3824366.70258485,-409412.442398305,-641490.438668457,-5256013.74598206
"133",0.00133,-3834367.83276203,-408988.168618591,-641191.071025069,-5251654.6158797
"134",0.00134,-3844183.39404697,-408565.474534355,-640892.564275414,-5247321.80259054
"135",0.00135,-3853818.8845673,-408144.131582859,-640595.04815692,-5243008.86451863
"136",0.00136,-3863279.37862683,-407724.301297612,-640298.534805366,-5238705.44939545
"137",0.00137,-3872569.42114458,-407305.962201745,-640002.995265198,-5234420.42356144
"138",0.00138,-3881693.70552733,-406888.861394727,-639708.271891149,-5230158.0592576
"139",0.00139,-3890656.54030508,-406473.288395775,-639414.590799194,-5225898.74981458
"140",0.0014,-3899462.21073969,-406058.986857003,-639121.796817729,-5221659.49704475
"141",0.00141,-3908114.46425031,-405646.036333515,-638829.882306033,-5217440.02208521
"142",0.00142,-3916617.77784473,-405234.591832006,-638538.842265253,-5213239.05098051
"143",0.00143,-3924975.57543636,-404824.297630641,-638248.730153371,-5209042.02672378
"144",0.00144,-3933191.73399216,-404415.487313665,-637959.589321384,-5204863.93722918
"145",0.00145,-3941269.27145766,-404007.925392315,-637671.195880731,-5200712.28593584
"146",0.00146,-3949212.33528156,-403601.613209477,-637383.778106803,-5196555.58492309
"147",0.00147,-3957023.29934845,-403196.671900354,-637097.175470656,-5192436.24467091
"148",0.00148,-3964705.71562546,-402792.971823771,-636811.518732423,-5188305.38196211
"149",0.00149,-3972263.31647396,-402390.525285029,-636526.650314301,-5184210.20319069
"150",0.0015,-3979697.7256087,-401989.444764311,-636242.670771681,-5180108.33756161
"151",0.00151,-3987012.81684398,-401589.586718586,-635959.517875592,-5176034.49020931
"152",0.00152,-3994211.20045924,-401190.908364641,-635677.155357512,-5171977.96407033
"153",0.00153,-4001295.07037712,-400793.439937459,-635395.684080107,-5167920.98471559
