sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
11,9,3826.0899688103154,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,10,4503.329511277027,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,11,5154.620929160969,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,12,5729.1317512180785,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,13,6176.443043428765,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,14,6454.670386323224,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,15,6537.867351121374,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,16,6420.719149780066,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,17,6119.211545913273,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,18,5667.149483666355,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,19,5109.619022107796,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,20,4495.245965882412,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,21,3572.2536036347,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,22,3739.8098991435827,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,23,4063.32586988491,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,24,4430.524232098904,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,25,4831.698692674725,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,26,5285.621049811676,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,27,5825.676920777112,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,28,6500.648435487656,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,29,7381.182433899918,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,30,8572.114679115828,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,31,10225.012839372159,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,32,12604.060670131012,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,33,16119.395026980103,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
12,34,21459.517353714178,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
