survey	contact_type	part_age	cont_age	m_est
April 2020	all	[0,10)	[60,70)	0.255500825913673
April 2020	all	[0,10)	[70,80)	0.08804656352535942
April 2020	all	[0,10)	[80,Inf]	0.02024592218913272
April 2020	all	[10,20)	[0,10)	0.8808032970758816
April 2020	all	[10,20)	[10,20)	1.410801639735095
April 2020	all	[10,20)	[20,30)	1.1461772038787734
April 2020	all	[10,20)	[30,40)	0.9011642016520875
April 2020	all	[10,20)	[40,50)	0.8087953679414784
April 2020	all	[10,20)	[50,60)	0.6099621258177423
April 2020	all	[10,20)	[60,70)	0.28728829291105756
April 2020	all	[10,20)	[70,80)	0.11380356087291654
April 2020	all	[10,20)	[80,Inf]	0.03175706831050915
April 2020	all	[20,30)	[0,10)	0.7266320436838208
April 2020	all	[20,30)	[10,20)	1.0454707350421137
April 2020	all	[20,30)	[20,30)	1.4794107043214357
April 2020	all	[20,30)	[30,40)	1.0802860677224109
April 2020	all	[20,30)	[40,50)	0.8849865853453633
April 2020	all	[20,30)	[50,60)	0.6895870858732942
April 2020	all	[20,30)	[60,70)	0.34114009209112656
April 2020	all	[20,30)	[70,80)	0.14759510161046094
April 2020	all	[20,30)	[80,Inf]	0.049513238234893286
April 2020	all	[30,40)	[0,10)	0.6925335191908799
April 2020	all	[30,40)	[10,20)	0.8584769854601277
April 2020	all	[30,40)	[20,30)	1.1282420093286483
April 2020	all	[30,40)	[30,40)	1.3896631007206786
April 2020	all	[30,40)	[40,50)	1.040761069025989
April 2020	all	[30,40)	[50,60)	0.7703951089788088
April 2020	all	[30,40)	[60,70)	0.4063739240651322
April 2020	all	[30,40)	[70,80)	0.19308470972800626
April 2020	all	[30,40)	[80,Inf]	0.07221507094377973
April 2020	all	[40,50)	[0,10)	0.5700408599665759
April 2020	all	[40,50)	[10,20)	0.7183832087809935
April 2020	all	[40,50)	[20,30)	0.8617715898062085
April 2020	all	[40,50)	[30,40)	0.9703807513834993
April 2020	all	[40,50)	[40,50)	1.2866734908323445
April 2020	all	[40,50)	[50,60)	0.8989316563346837
April 2020	all	[40,50)	[60,70)	0.48799769600637644
April 2020	all	[40,50)	[70,80)	0.258846127873069
April 2020	all	[40,50)	[80,Inf]	0.10921312667354997
April 2020	all	[50,60)	[0,10)	0.37306991039209914
April 2020	all	[50,60)	[10,20)	0.4883598635671196
April 2020	all	[50,60)	[20,30)	0.6052986792264924
April 2020	all	[50,60)	[30,40)	0.6474893425715703
April 2020	all	[50,60)	[40,50)	0.8103166118927432
April 2020	all	[50,60)	[50,60)	1.0725896258031737
April 2020	all	[50,60)	[60,70)	0.6342914403786399
April 2020	all	[50,60)	[70,80)	0.353312631004177
April 2020	all	[50,60)	[80,Inf]	0.15435675740603952
April 2020	all	[60,70)	[0,10)	0.2180361782866831
April 2020	all	[60,70)	[10,20)	0.27607456255868607
April 2020	all	[60,70)	[20,30)	0.3593999630810103
April 2020	all	[60,70)	[30,40)	0.4099278477223631
April 2020	all	[60,70)	[40,50)	0.5279720904772554
April 2020	all	[60,70)	[50,60)	0.7612955876376042
April 2020	all	[60,70)	[60,70)	0.8881669980107669
April 2020	all	[60,70)	[70,80)	0.4968154521922806
April 2020	all	[60,70)	[80,Inf]	0.19241964089520985
April 2020	all	[70,80)	[0,10)	0.1031680325952786
April 2020	all	[70,80)	[10,20)	0.1501563322350725
April 2020	all	[70,80)	[20,30)	0.21349984174219885
April 2020	all	[70,80)	[30,40)	0.2674312573030076
April 2020	all	[70,80)	[40,50)	0.38451797437186575
April 2020	all	[70,80)	[50,60)	0.5822379068184504
April 2020	all	[70,80)	[60,70)	0.6821460042187333
April 2020	all	[70,80)	[70,80)	0.7899762438475431
April 2020	all	[70,80)	[80,Inf]	0.24341161585928592
April 2020	all	[80,Inf]	[0,10)	0.045203046052388465
April 2020	all	[80,Inf]	[10,20)	0.07984202633881476
April 2020	all	[80,Inf]	[20,30)	0.1364680680684609
April 2020	all	[80,Inf]	[30,40)	0.19058399802494524
April 2020	all	[80,Inf]	[40,50)	0.3091268693346066
April 2020	all	[80,Inf]	[50,60)	0.48467817018969217
April 2020	all	[80,Inf]	[60,70)	0.503414140582092
April 2020	all	[80,Inf]	[70,80)	0.4638120452656695
April 2020	all	[80,Inf]	[80,Inf]	0.3299083375187859
April 2020	community	[0,10)	[0,10)	0.714730044993029
April 2020	community	[0,10)	[10,20)	0.379310385431837
April 2020	community	[0,10)	[20,30)	0.25100279184529467
April 2020	community	[0,10)	[30,40)	0.23008969947344976
April 2020	community	[0,10)	[40,50)	0.24707043307656537
April 2020	community	[0,10)	[50,60)	0.24962500368699145
April 2020	community	[0,10)	[60,70)	0.1922997695289205
April 2020	community	[0,10)	[70,80)	0.06637486650915975
April 2020	community	[0,10)	[80,Inf]	0.012751188117381696
April 2020	community	[10,20)	[0,10)	0.3368506089380199
April 2020	community	[10,20)	[10,20)	0.7903129228375645
April 2020	community	[10,20)	[20,30)	0.4816703629686897
April 2020	community	[10,20)	[30,40)	0.35224066379666835
April 2020	community	[10,20)	[40,50)	0.34564048877167086
April 2020	community	[10,20)	[50,60)	0.307403491675616
April 2020	community	[10,20)	[60,70)	0.18339781749056763
April 2020	community	[10,20)	[70,80)	0.0903555867894194
April 2020	community	[10,20)	[80,Inf]	0.02763912184994556
April 2020	community	[20,30)	[0,10)	0.20331926118680307
April 2020	community	[20,30)	[10,20)	0.439349599304215
April 2020	community	[20,30)	[20,30)	0.900157868581444
April 2020	community	[20,30)	[30,40)	0.6254973825773029
April 2020	community	[20,30)	[40,50)	0.5382522456608385
April 2020	community	[20,30)	[50,60)	0.45157338904588884
April 2020	community	[20,30)	[60,70)	0.23510764840002646
April 2020	community	[20,30)	[70,80)	0.12046205256576037
April 2020	community	[20,30)	[80,Inf]	0.05289180126248932
April 2020	community	[30,40)	[0,10)	0.19465576908554888
April 2020	community	[30,40)	[10,20)	0.3355535347602336
April 2020	community	[30,40)	[20,30)	0.6532658780861407
April 2020	community	[30,40)	[30,40)	1.0832027416937702
April 2020	community	[30,40)	[40,50)	0.8314011438631447
April 2020	community	[30,40)	[50,60)	0.6234557815460283
April 2020	community	[30,40)	[60,70)	0.32527547354006564
April 2020	community	[30,40)	[70,80)	0.16490936838380507
April 2020	community	[30,40)	[80,Inf]	0.07769296696718687
April 2020	community	[40,50)	[0,10)	0.19488552220738548
April 2020	community	[40,50)	[10,20)	0.30700289423923494
April 2020	community	[40,50)	[20,30)	0.5241341355580104
April 2020	community	[40,50)	[30,40)	0.7751796887257473
April 2020	community	[40,50)	[40,50)	1.1959506675526166
April 2020	community	[40,50)	[50,60)	0.7403120763130564
April 2020	community	[40,50)	[60,70)	0.3770205786810761
April 2020	community	[40,50)	[70,80)	0.22555201730648186
April 2020	community	[40,50)	[80,Inf]	0.12508296616224862
April 2020	community	[50,60)	[0,10)	0.17748716425952962
April 2020	community	[50,60)	[10,20)	0.24611922979721654
April 2020	community	[50,60)	[20,30)	0.39637704392960266
April 2020	community	[50,60)	[30,40)	0.5239939283704144
April 2020	community	[50,60)	[40,50)	0.6673359013227331
April 2020	community	[50,60)	[50,60)	0.7826926731090884
April 2020	community	[50,60)	[60,70)	0.4286933489756101
April 2020	community	[50,60)	[70,80)	0.2743077143715329
April 2020	community	[50,60)	[80,Inf]	0.1614212052576154
April 2020	community	[60,70)	[0,10)	0.16410007938697194
April 2020	community	[60,70)	[10,20)	0.17623944472468
April 2020	community	[60,70)	[20,30)	0.24769252831634445
April 2020	community	[60,70)	[30,40)	0.32811920191435995
April 2020	community	[60,70)	[40,50)	0.40790465714092616
April 2020	community	[60,70)	[50,60)	0.5145291269085589
April 2020	community	[60,70)	[60,70)	0.5023417950285193
April 2020	community	[60,70)	[70,80)	0.2977338551471408
April 2020	community	[60,70)	[80,Inf]	0.12289900395653225
April 2020	community	[70,80)	[0,10)	0.07777408838056697
April 2020	community	[70,80)	[10,20)	0.11921786471885411
April 2020	community	[70,80)	[20,30)	0.17425050670806877
April 2020	community	[70,80)	[30,40)	0.22840689831518382
April 2020	community	[70,80)	[40,50)	0.335059352045052
April 2020	community	[70,80)	[50,60)	0.45203777603190515
April 2020	community	[70,80)	[60,70)	0.40880065397382953
April 2020	community	[70,80)	[70,80)	0.4407397535422952
April 2020	community	[70,80)	[80,Inf]	0.07780667316585226
April 2020	community	[80,Inf]	[0,10)	0.028469329915398946
April 2020	community	[80,Inf]	[10,20)	0.06948904893988218
April 2020	community	[80,Inf]	[20,30)	0.14577916748953818
April 2020	community	[80,Inf]	[30,40)	0.20504064460657645
April 2020	community	[80,Inf]	[40,50)	0.3540456832984121
April 2020	community	[80,Inf]	[50,60)	0.506855751717515
April 2020	community	[80,Inf]	[60,70)	0.3215297473774037
April 2020	community	[80,Inf]	[70,80)	0.14825595144580564
April 2020	community	[80,Inf]	[80,Inf]	0.0581210301790513
April 2020	household	[0,10)	[0,10)	1.010675661944069
April 2020	household	[0,10)	[10,20)	0.3155149529303973
April 2020	household	[0,10)	[20,30)	0.16039704458273552
April 2020	household	[0,10)	[30,40)	1.0066952346096485
April 2020	household	[0,10)	[40,50)	0.7147627981095994
April 2020	household	[0,10)	[50,60)	0.0935793940246444
April 2020	household	[0,10)	[60,70)	0.03683388454891879
April 2020	household	[0,10)	[70,80)	0.018946228877843575
April 2020	household	[0,10)	[80,Inf]	0.007474588087773749
April 2020	household	[10,20)	[0,10)	0.28018967044458687
April 2020	household	[10,20)	[10,20)	0.9066505060109131
April 2020	household	[10,20)	[20,30)	0.17484326616574764
April 2020	household	[10,20)	[30,40)	0.14834663048285882
April 2020	household	[10,20)	[40,50)	0.9386136360931815
April 2020	household	[10,20)	[50,60)	0.5785109605393948
April 2020	household	[10,20)	[60,70)	0.03654342129531647
April 2020	household	[10,20)	[70,80)	0.004526136099492127
April 2020	household	[10,20)	[80,Inf]	6.959154653733089e-4
April 2020	household	[20,30)	[0,10)	0.12993150031861722
April 2020	household	[20,30)	[10,20)	0.15947939783540077
April 2020	household	[20,30)	[20,30)	0.5898323399999137
April 2020	household	[20,30)	[30,40)	0.13730310132953483
April 2020	household	[20,30)	[40,50)	0.09267774761055829
April 2020	household	[20,30)	[50,60)	0.4395966149333199
April 2020	household	[20,30)	[60,70)	0.1111977269856017
April 2020	household	[20,30)	[70,80)	0.005924638299485176
April 2020	household	[20,30)	[80,Inf]	2.834552783710472e-4
April 2020	household	[30,40)	[0,10)	0.8516629186568415
April 2020	household	[30,40)	[10,20)	0.14132419609756075
April 2020	household	[30,40)	[20,30)	0.14339401452031725
April 2020	household	[30,40)	[30,40)	0.5603321896244047
April 2020	household	[30,40)	[40,50)	0.13394256181976305
April 2020	household	[30,40)	[50,60)	0.03848057479247934
April 2020	household	[30,40)	[60,70)	0.03447429830565204
April 2020	household	[30,40)	[70,80)	0.00793126186428206
April 2020	household	[30,40)	[80,Inf]	4.184773878028886e-4
April 2020	household	[40,50)	[0,10)	0.5637839309777545
April 2020	household	[40,50)	[10,20)	0.8336921133277594
April 2020	household	[40,50)	[20,30)	0.09024661735491755
April 2020	household	[40,50)	[30,40)	0.12488387879703912
